"job_title","job_description","salary_string"
Accounts Executive,"Preparing monthly and annual accounts
Corporate document maintenance
Projecting cost calculations
Liaising with auditors
Processing employee expenses
Costing for projects
Data gathering
Receiving and storing invoices
Using digital systems to keep records and create payments
Preparing and posting journals
Logging daily entries in accordance with accounting policy
Soft skills needed for the role are as follows:
Excellent attention to detail
Good time management
Strong commercial acumen
Good problem solving skills
Analytical thinking
Relationship building skills
Job Types: Full-time, Permanent
Salary: AED2,500.00 - AED3,000.00 per month
Education:
Master's (Preferred)
Experience:
accountings in food industry: 3 years (Preferred)
Language:
Arabic (Preferred)","AED2,500 - AED3,000 a month"
Driver for an Interior Firm,"We are looking for a driver who has minimum 2-3 years of UAE experience and can join us immediately having valid UAE driving license with License Number 5 & 6( 14 seater + pickup+28 seater).
The responsibilities will be as follows
Willingness to work after office hours when needed as instructed from office.
Responsible for safely transport of workers to and from the site.
Responsible for airport collection / departure
Responsible for collecting materials from the suppliers when needed
Responsible for cheque collection & deposit
Maintain and clean the vehicle assigned.
Salary - AED 2250 - AED 2500 + OT+Accomodation
Job Types: Full-time, Permanent
Salary: AED2,250.00 - AED2,500.00 per month
License/Certification:
Valid UAE driving license 3 , 5 & 6 (Required)","AED2,250 - AED2,500 a month"
Female F&B Accountant,"We Are Hiring!
Female Accountant
Salary: AED 6500 All in
Industry: F&B Restaurant
Location: Sheikh Zayed road, Dubai
Qualifications:
* Have a Bachelor’s degree in Accounting/Finance or relevant degree
* 3 to 5 years relevant work experience in UAE
* Preferred to have knowledge with sage 50 UK Accounting software
*Strong attention to detail and accuracy
* Good communication and customer contact skills
*An enthusiasm towards all duties requested by management
*Meticulous personal appearance
Job Types: Full-time, Permanent
Salary: From AED6,500.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)","AED6,500 a month"
Web & Graphic Designer,"We are looking for someone who can take care of all our social media profiles and advertise our brands
Responsibilities
Web Design
Develop and implement digital marketing strategies to drive lead generation and increase brand awareness
Plan and execute digital campaigns across multiple platforms, including social media, email, and paid advertising
Design and create graphics for various digital channels, including social media posts, email campaigns, and website
Manage the content that the business posts on social media
Improve the design, UX, traffic, and content of the website
Creative and professional photography & videography
Assists in developing layouts for newsletters, ads, brochures, posters, and other internal and external communication layouts and templates.
Create email blast campaigns to target key customers
Be actively involved in SEO efforts (keyword, image optimization etc.)
Candidate requirements
Graphic Design
Social Media Marketing
Digital Marketing
Public Relations
Other Responsibilities
*
Job Type: Full-time
Salary: AED4,000.00 per month
Experience:
graphic designer: 1 year (Required)
Language:
English (Required)
Application Deadline: 16/02/2023","AED4,000 a month"
Female Fitness trainer,"We are looking for a female fitness trainer at dubai , burdubai
group class experienced trainers and personal training experience
any nationality
should have good communication skill
experienced
salary 2000 to 3000 plus commission
visa will be provided by company
Job Type: Full-time
Pay: AED2,000.00 - AED3,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or willing to relocate with an employer-provided relocation package (Required)","AED2,000 - AED3,000 a month"
Graphic Designer,"Job description
We are seeking a dedicated graphic designer to join our growing company. You will collaborate with other designers to create effective and eye-catching images and campaigns to increase our user base. As a graphic designer, we hope you can put your passion for design to create beautiful images and compelling content. Your duties will include developing graphics for digital platforms to enhance our company text.
Responsibilities
Create and design various artworks for web and social media.
Product packaging design.
Ensure projects are completed with high quality and on schedule.
Establish creative direction for the company as well as brand guidelines.
Prioritize and manage multiple projects within design.
Perform retouching and manipulation of images.
Job Qualifications and Skill Sets
Below are the qualifications that are expected of a graphic designer:
Proficiency in programs such as Adobe Creative Suite
Excellent written and verbal communication skills
Minimum of two years experience in graphic design
Attention to detail
Portfolio of work with a wide range of creative projects
Strong analytical skills
Time management and organizational skills
Familiarity with HTML and CSS preferred
Knowledge of layouts, graphic fundamentals, typography, print, and web
Experience with both print and digital media
Work with a wide range of media and use graphic design software.
Ensure final graphics and layouts are visually appealing and on-brand.
Review final productions for errors and ensure that final prints reflect actual specifications.
Job Types: Full-time, Permanent, Contract
Salary: AED4,000.00 - AED6,000.00 per month
Experience:
graphic designer: 1 year (Preferred)","AED4,000 - AED6,000 a month"
Arabic cook,"Undertake menu planning in consultation with the Chef
Oversee and participate in the preparation and cooking and serving of main meals, snacks, cakes, etc. in accordance with specified menus
Ensure menus are displayed showing choices
Determine quantities to be cooked and size of portions to be served, taking into account diets to meet medical, ethnic and personal needs
Check quantity and quality of stock received and notify suppliers of deficiencies
Where meals are provided for another establishment and the community, oversee the packaging of the meals in the absence of the Chef
Oversee washing and cleaning of floors, crockery, utensils, work surfaces and other kitchens equipment to ensure that the necessary hygiene and health and safety standards are maintained in the kitchen and dining room as appropriate
Ensure that the appropriate clothing, including head wear, is worn at all times in accordance with the Trust’s guidelines
Co-operate fully with the statutory inspections and implement recommendation as appropriate
Act as Supervisor to the Kitchen Staff Team on shift
Deputize for the Chef during his/her absence
To undertake such other duties as may be determined from time to time within the general scope of the post and to be aware that social activities connected with the home may require voluntary work attendance outside normal working hours
Job Types: Full-time, Permanent
Salary: AED2,500.00 - AED3,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)","AED2,500 - AED3,000 a month"
Admin cum Accounts Assistant,"ADMIN CUM ACCOUNTS
FEMALE
JOB REQUIREMENTS
FRESHER CAN APPLY TOO AS LONG AS YOU HAVE ACCOUNTING BACKGROUND
--Must be based in the UAE and immediate availability is mandatory.
-With excellent communication skills , attend all incoming calls and routing them to the concerned department/ individual.
-Must have good phone manners, good command of the English language both written and oral.
-Maintain safe and clean of the workplace in accordance to office rules & regulations
-Maintain the general filing system and file all correspondence.
-Assist in the planning and preparation of meetings, conferences and conference calls.
-Order and insure adequate office supplies are maintained at all times.
-Maintain the quality standards of the company at all times.
- Proven work experience as a admin or similar role with project management skills are requisite of all candidates interested in this position.
-Please send your CV to info(at)alshurooq(dot)com
Job Types: Full-time, Permanent
Salary: From AED3,000.00 per month
Application Deadline: 21/02/2023","AED3,000 a month"
Emirati National Administrative Officer with Tadbeer work experience,"Supervise and coordinate all aspects of an agency. They work with agents and clients to ensure that targets are met, relevant policies and guidelines are upheld, and customer satisfaction is achieved. Specialized knowledge required.
Job Types: Full-time, Contract
Contract length: 24 months
Salary: From AED5,000.00 per month
Ability to commute/relocate:
Al-Ayn: Reliably commute or planning to relocate before starting work (Required)
Application Deadline: 28/02/2023","AED5,000 a month"
Property Consultant,"JOB DESCRIPTION: Minimum 1 year experience within the Real Estate market in Dubai. Should have strong relationships with real Estate brokerages.
UAE Drivers License/ Car is mandatory.
Strong Negotiation/Communication Skills.
Well spoken and Groomed/ Presentable.
Motivated and hungry for success.
Positive attitude/ Confident. Interest in continuous learning & self development.
WE PROVIDE: Salary plus Commission.
In-house marketing and admin support.
Fresh & qualified leads on daily basis.
Reliable and fair management support.
Residence visa, Health insurance and Rera
Job Type: Full-time
Salary: AED3,000.00 - AED5,000.00 per month
Experience:
real estate: 1 year (Required)
License/Certification:
UAE driving license and car (Preferred)","AED3,000 - AED5,000 a month"
Beauty Therapist,"Perform body slimming treatment (we will provide the special training for the new emloyee to show how to properly handle this machine)
Perform hydrafacial treatment
Develop treatment plans for patients with on-going follow-ups
Obtain applicable medical history and maintaining records
Perform the required procedures in a time-efficient manner while maintaining a pleasant attitude
Advise and coordinating with clients on all aspects of procedures and answer any questions or concerns they may have in a professional and friendly manner
Requirements
Searching for only Russian, Ukrainian, Uzbekistan, Kazakhstan, Turkmenistan, Tajikistan, Polish candidates
Must be a professsional Beauty Thrapist and/or registered Nurse with DHA license/Eligibility Letter/any existing license to be converted to DHA
Immediate joiners will be prioritized
Job Types: Full-time, Permanent, Contract, Fresher
Salary: AED7,000.00 - AED10,000.00 per month","AED7,000 - AED10,000 a month"
Receptionist / Admin Assistant,"Full Job Description
Have experience as a secretary or Administrative Assistant
Basic computer skills
Excellent communication & customer service
Have a friendly, welcoming and full of life attitude
Can start immediately
Job Types: Full-time, Permanent
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Experience:
administrative assistant: 1 year (Preferred)
Language:
English(Preferred)
Job Type: Full-time
Salary: From AED1,500.00 per month
Expected Start Date: 01/03/2023","AED1,500 a month"
Purchaser,"Responsibilities:
1. Procurement of materials according to the procurement plan made by the company.
2. verification of material inventory and create a reasonable procurement plan.
3. Selecting suitable suppliers for procurement, comparing goods with others and controlling procurement costs.
4. Familiar with the details of the materials procured, such as product names, manufacturers, product specifications, models, etc..
5. Know the market situation of the materials purchased, and establish a good cooperative relationship with suppliers.
6. To go through the procedures of warehousing materials as required and to verify the accuracy of the quantity and specifications of the materials being warehoused.
7. Abide by the relevant religious and legal rules and regulations of the UAE, and actively complete other tasks arranged by the superior.
Salary:
-2k+Bonus+Allowance
Employee benefits:
-Will discuss in interview
职位类型：全职
薪资： 每月AED2,000.00起","AED2,000 a month"
Front Desk Receptionist,"In addition to managing our front desk daily and carrying out various administrative and clerical duties, we are seeking a receptionist. Only Females to apply for this role
Responsibilities
Receiving calls should be answered, screened, and forwarded. Ascertain that the reception space is orderly and attractive and that it has all the stationery and materials it needs (e.g. pens, forms, and brochures) By phone, email, and in person, provide basic and accurate information. accepting, sorting, and distributing daily mail and deliveries. Keep the office safe by adhering to safety protocols and limiting access through the reception desk (monitor logbook, issue visitor badges) Maintain a stock inventory and order front office materials. Calendar updates and meeting scheduling Plan your trip, lodging, and preparations (Collections).
Qualifications and abilities;
Any Nationality - Only Females
Available to join immediately (Husband or own Visa preferable) • Associate’s or bachelor’s degree in a related field.
Prior experience as a receptionist or in a related field. Competency in Microsoft applications including Word, Excel, and Outlook.
Good time management skills.
Able to contribute positively as part of a team, helping out with various tasks as required.
Experience: • Minimum 1-2 years experience in UAE
Job Types: Full-time, Permanent
Salary: From AED1,500.00 per month
Expected Start Date: 01/03/2023","AED1,500 a month"
Admin Assistant,"1. Day-to-day assist with operations and office administration, including: filing, correspondence, liaising between the CEO and other members of an international team.
2. Assisting the CEO and other team members with general travel arrangements.
3. Proficient in MS Office – Word, Excel, Powerpoint, Outlook and Access.
4. Must speak Spanish or German
Job Types: Full-time, Contract
Contract length: 12 months
Salary: AED4,000.00 - AED5,000.00 per month
Ability to commute/relocate:
Dubai: Reliably commute or planning to relocate before starting work (Required)
Language:
German OR Spanish AND English (Required)","AED4,000 - AED5,000 a month"
Registered Triage Nurse NHS (Relocation Package),"Triage Nurse (Registered Nurse) – Unique Opportunity for Accelerated Career Progression - South Western Ambulance Service (SWAST) – NHS Devon, UK
We are the Devon Alliance for International Recruitment and we are part of NHS. We are delighted to work alongside South Western Ambulance Service NHS Foundation Trust (SWAST) to recruit Registered Nurses to join their Emergency Operation Centres as a Triage Nurse based in their Emergency Operation Centre in Exeter, Devon in the beautiful south west of England, UK.
Unique Opportunity – Triage Nurse (Registered Nurse)
We are recruiting Registered Nurses to join SWAST’s Emergency Operation Centres as a ‘Triage Nurse’. As a Triage Nurse, you will be responsible for providing clinical advice and guidance to colleagues, patients and service users via telephone triage to establish appropriate care pathways.
This role is part of a wider team of clinical professionals, including Doctors, Paramedics and Specialist Practitioners. You will provide remote clinical support via telephone, and support decision making with emergency ambulance crews who are on the scene with patients.
Progression opportunity:
Upon obtaining your NMC UK PIN you will progress into a Band 6 Triage Nurse £33,706 to £40,588pa (rather than a Band 5 general Registered Nurse) with the scope to progress to a Band 7 Senior Nurse £41,659 to £47,672 pa within 12 to 24 months. This is a rare and unique opportunity for international Nurses to join South Western Ambulance Service NHS Foundation Trust at this exciting time. The South Western Ambulance Service NHS Foundation Trust has also committed to a 5-year employment visa for the successful candidate, with the option to apply for permanent residency after the initial 5-year term.
Interview and required work experience:
The right candidate will have IELTS at level 7.0 or OET at a B, be confident in communicating using the telephone, and have a minimum of 2 years’ experience in a critical or emergency care setting. All Registered Nurses must also register with the UK’s Nursing and Midwifery Council (NMC):
For an insight into the day in the life of a Triage Nurse, please follow this link to see a short video; Join Us, https://www.youtube.com/watch?v=io4DnDAN9BQ
SWAST – Exeter, Devon UK
The South Western Ambulance Service (SWAST) is responsible for providing ambulance services for the National Health Service across South West England. SWAST responds to medical emergencies at all times of the day and night, operating a 24-hour clinical response to urgent ‘999’ calls to ensure patients receive the right care as quickly as possible – wherever and whenever they need it!
SWAST’s Emergency Operation Centre, where you will be working, is located in the city of Exeter. Exeter is situated on the River Exe and is a small, historic city which is full of character and has a great cultural scene. Exeter is the capital city of Devon and provides the county with a central base for education, medicine, religion, commerce and culture. It has an array of historic architecture, including Roman ruins, the historical Guildhall and most notably the Cathedral, St Peter's Cathedral which dates back to the 12th century and sits at the heart of the city, dominating the skyline.
Our generous offer includes:
· Sponsorship and paid visa
· Paid flight to the UK
· Band 6 salary (£33,706 to £40,588pa), on receipt of NMC PIN
· 2 months free accommodation (single person accommodation) is provided
· Airport transfers, food vouchers, phone card and bank account
· Free accommodation for two months
· NMC registration and IELTS/OET fees reimbursed
· Full pastoral package
· Free healthcare and schooling
· Opportunities for career development
· Eligibility to apply for family visa
· And much more!
We will hold virtual interviews in 2023 over MS Teams - we hope to meet you then!
www.devon-alliance.com
NB: We adhere to the World Health Organisation's guidelines on ethical recruitment. If you are in one of the 47 countries which is on the 'Red' or 'Amber' list, we are truly sorry but we cannot accept your application.
Job Types: Full-time, Permanent
Salary: AED149,774.76 - AED180,355.36 per year
COVID-19 considerations:
Virtual Interviews
Experience:
Nursing in an Emergency setting: 2 years (Required)
License/Certification:
Nursing License (Required)
IELTS at 7.0 or OET at B (Required)","AED149,775 - AED180,355 a year"
Driver,"Delivering packages to customers in a timely manner.
Picking up office purchases or other administrative needs.
Interacting with clients in professional conduct.
Maintaining an organized travel schedule.
Ensuring that vehicles have sufficient gas and are always ready for use.
Arranging for vehicle repairs when necessary.
A valid driver's license.
1-year driving experience.
Extensive knowledge of the operating area.
Excellent organizational and time management skills.
Good verbal communication.
Job Type: Full-time
Salary: AED1,800.00 - AED2,200.00 per month
Ability to commute/relocate:
Ajman: Reliably commute or planning to relocate before starting work (Required)
License/Certification:
Valid UAE driving license (Required)","AED1,800 - AED2,200 a month"
Medical Representatives,"Medical Sales Representative
Job Location: Cairo (Heliopolis, Koppa, Appasia, Nasr City, Mokattam, Matarya, Helmya, Ain Shams, Maadi, Helwan, Dar Al Salam)
Posted Date: Feb 12, 2023
Are you excited and passionate to pursue your career in the pharmaceutical industry at an emerging pharma company in Egypt?
Do you have extensive experience in promoting Derma products to HCPs and having a strong connection to TLs and key pharmacies in your territory?
If your answer is yes, then this job post is for you!
Description
The Medical Sales Representative represents Deluge Pharm within an assigned territory to maximize product sales by transferring a strong value proposition for the dermatology portfolio to stakeholders.
The Medical Sales Representative will target and promote Deluge Pharm products to Dermatologists, general practitioners, and other HCPtoto grow the Deluge Pharm business and achieve company objectives.
· Builds strong and effective relationships with HCPs and pharmacists within assigned territory
· Highly skilled in using a CRM approach to capture valuable insights around the needs and expectations of their customers
· Understands market dynamics in the assigned territory to effectively plan and implement sales and marketing strategies
· Initiates, develops, and implements a customer growth plan to position products at top of mind in HCPs. Continually reviews and updates the plan based on sales report analyses and field intelligence
· Effectively utilizes resources and support services to promote products and maximize sales
· Consistently improves upon disease state, product knowledge, competitor information as well as consultative selling skills by participating in training activities, POA meetings, and relevant conferences. Completes all required training classes and programs and effectively implements technical and selling skills.
· Effectively coordinates the distribution of product samples and promotional materials within the territory by company policies and procedures and legal/regulatory requirements
· Completes administrative duties accurately and within specified time frames, including but not limited to call reports, expense reports, and other required documentation
· Recommends, plans, supports, hosts, and attends various company functions, including events scheduled before or after regular working hours
· Understands and adheres to all applicable laws, regulations, and Deluge Pharm policies
Job Type: Full-time
Salary: E£6,000.00 - E£8,000.00 per month
Ability to commute/relocate:
Cairo: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Required)
Experience:
Medical: 1 year (Required)
Application Deadline: 22/02/2023
Expected Start Date: 01/03/2023",$٦٬٠٠٠ - $٨٬٠٠٠ لكل شهر
Speech therapist,"DOH or DHA Licensed
Home Health Care Facility
Annual leave with pay
Air ticket allowance provided
Free transportation
Other details will be discussed once shortlisted
Job Type: Full-time
Salary: AED8,000.00 - AED10,000.00 per month
Education:
Bachelor's (Preferred)
License/Certification:
Registered Nurse license (Required)","AED8,000 - AED10,000 a month"
Sales Acount Manager,"responsible to create , maintain and follow new customer accounts , you should be high graduated , know English spoken and written , salary is based on experience and skills
IT field experience preferred
Job Type: Full-time
Salary: E£2,000.00 - E£8,000.00 per month",$٢٬٠٠٠ - $٨٬٠٠٠ لكل شهر
Sales Acount Manager,"responsible to create , maintain and follow new customer accounts , you should be high graduated , know English spoken and written , salary is based on experience and skills
IT field experience preferred
Job Type: Full-time
Salary: E£2,000.00 - E£8,000.00 per month",$٢٬٠٠٠ - $٨٬٠٠٠ لكل شهر
Experience on DWDM installation & Power (FPDC)-Telecom Engg & Technician,"Telecom Technician
Capable to work on Transmission Equipment's(Installation, Commissioning, Testing, Labelling etc.)Should have skills on live core networks, commissioning of core switches and aggregators, hands on experience in DWDM TXN
Monthly salary - ( 2000 SAR to 3000 SAR pm)
Telecom Engineer
Should be capable of configuration brief understanding of Access Network and related equipment till implementation and documentation. Should be able to have configuration, commissioning and integration skills in core network.
Monthly salary - ( 4000 SAR to 5000 SAR pm)
Education: Master’s Degree, Telecom Engineering / Diploma in Telecommunication
Job Location: Saudi Arabia-
Experience: Minimum 3 years of experience and above
Note- Preferred KSA local candidates with Visa Transferable/NOC from present Sponsor
Job Type: Full-time
Salary: ﷼2,000.00 - ﷼5,000.00 per month
Ability to commute/relocate:
Riyadh: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Are your currently in KSA?",$٢٬٠٠٠ - $٥٬٠٠٠ لكل شهر
Project Lead,"We are always on a lookout for smart people to join us. We think success is all about having the right attitude and being persistent. We are currently hiring for the role of Project Lead ‬
Job Type: Permanent
Roles and Responsibilities:
1. Develop a thorough understanding of the business need and related business processes.
2. Interacting with clients, business stakeholders and subject matter experts to comprehend their requirements
3. Work with the client and manage to define the requirements (user stories) to build new functionality using, amongst others, BDD/Gherkin style acceptance criteria.
4. Ownership of requirements to be built by the team, presentation of the stories and journeys to the technical team and client.
5. Determine and define project scope and objectives
6. Predict resources needed to reach objectives and manage resources in an effective and efficient manner
7. Develop and manage a detailed project schedule and work plan
8. Provide project updates on a consistent basis to various stakeholders about strategy, adjustments, and progress
9. Manage contracts with vendors and suppliers by assigning tasks and communicating expected deliverables
10. Utilize industry best practices, techniques, and standards throughout entire project execution
11. Monitor progress and make adjustments as needed
12. Measure project performance to identify areas for improvement
13. Resolving business problems through technical-based solutions
14. Documenting functional and technical designs of business systems
15. Perform kick-offs with the developers and answer questions and resolve ambiguities for the developers during development.
16. Evaluating the business & technical documentations, user manuals, etc.
17. Create application documentation for end-users and technical staff as needed
18. Interacting with system developers and architects for enhanced operational effectivity.
19. Assist with user acceptance testing as necessary and appropriate
20. Assist team with making appropriate commitments through story selection, task definition
21. Identify and remove impediments, prevent distractions that interfere with the ability of the team to deliver the sprint goal
22. Improve the productivity of the teams in any way possible
23. Ensure bug free and timely project delivery
Requirements:
1. Bachelor's degree in computer science, business, or a related field
2. Minimum 3 years of project management and related experience
3. Have a strong passion to collaborate and partner with both business and technology project team members to work together towards a shared vision
4. Proven ability to solve problems creatively
5. Strong familiarity with project management software tools, methodologies, and best practices
6. Experience seeing projects through the full life cycle
7. Excellent analytical skills
8. Strong interpersonal skills and extremely resourceful
9. Proven ability to complete projects according to outlined scope, budget, and timeline
10. Be a quick learner who can ask the right questions to build an understanding of what our clients need
11. Ready to take ownership of ensuring user stories are captured and test cases are successfully executed.
12. Strong communication skills to share user story acceptance criteria and test case results with technology-focused team members.
13. Always looking for ways to improve and help others to do the same.
Job Type: Full-time
Salary: ﷼3,000.00 - ﷼5,000.00 per month
Education:
Bachelor's (Preferred)
Experience:
Project Lead/Project Management: 3 years (Required)
Language:
English (Required)",$٣٬٠٠٠ - $٥٬٠٠٠ لكل شهر
Training Consultant (Sales),"About IIPD - Institute of Innovation and Professional Development
Founded in 2016, IIPD is one of the leading training & consultancy institutes in the region offering innovative training programs in Industrial /Building/ Home Automation, Energy Management, Software & IT and other technical & professional courses. Our mission is to develop people to their fullest potential, bringing difference in their lives and organization they belong to. We deeply understand current and future requirements of our clients to deliver customized and personalised learning. Our diversified training programs and consulting services are devised and delivered by highly competent subject matter experts which sets us apart. Our technical courses are fully practical with real world industry applications. We provide individual attention to each student and make sure they learn satisfactorily leaving happiness and fulfillment.
Job Description
As Training consultant, you will be integral part of the sales team. You are highly energetic with strong passion for sales, closing numbers and over achieving. You love to meet people, discuss their training requirements and help them chose the right training path. You help people grow in their career.
Only candidates who answer three pre-questions will be shortlisted. This is to understand your interest and knowledge on training industry.
This is a target driven role, you will be having weekly and monthly targets on sales conversion, lead generation, Walk-in, promotional activities.
Responsible to attend all inbound leads receiving through all platforms, record them in CRM, follow-up on regular basis.
Pro-actively generate new leads through outbound phone calls, networking, social media and referrals (50+ calls a day)
Progress leads to face-to-face or virtual introduction, work with technical team to develop appropriate proposal and convert the lead to enrollment
Promote complete course portfolio to targeted audience
Pitching and developing winning proposals to gain new businesses.
Forecast opportunities and manage the progress of these opportunities through CRM with accurate and relevant data input.
Submit daily and weekly report on leads, activities and sales
Schedule regular meetings with principal companies for business review.
In addition to the above responsibility, this role will be performing admin tasks of training institutes such as maintaining records, students admission, certification etc.
Preference will be given to candidates who can seamlessly deal with diverse client base within Middle East and Africa
Candidate must be highly fluent in spoken English and Arabic with good business communication skills
Job Type: Full-time
Salary: ﷼3,000.00 - ﷼4,000.00 per month
COVID-19 considerations:
N/A
Application Question(s):
Why are you interested in this role and how will you be able to contribute to this role ?
Have you worked in a training institute or education industry related job ? What you know about training industry ?
Language:
Fluent English (Required)
Arabic (Required)
Expected Start Date: 26/02/2023",$٣٬٠٠٠ - $٤٬٠٠٠ لكل شهر
Trainer (Communication Expert),"Trainer Responsibilities:
Evaluate employee performance to gauge where skills are lacking.
Create training programs to address skill gaps in employees.
Prepare learning materials for programs.
Develop onboarding programs for new employees.
Conduct surveys to gauge the effectiveness of programs.
Research new teaching methods.
Attend education conferences.
Job Type: Full-time
Pay: ﷼7,000.00 - ﷼10,000.00 per month
Experience:
Trening: 3 years (Required)
Language:
English (Required)
Expected Start Date: 01/03/2023",$٧٬٠٠٠ - $١٠٬٠٠٠ لكل شهر
Joinery Site Supervisor (Interior/Fit-Out),"- Oversees site work of labor workers
- Ensures safety and protocols
- Supervise the work regularly, provide on the spot guidance to ensure high quality craftsmanship
- Prepares daily site progress reports and report to PM
- Analyses engineering drawings and specifications to plan layout, coordination on site requirements
- Delivers orders from start to finish; to time, cost, quality and safety standards
Requirements
- At least 5 years of experience in the joinery, carpentry, furniture, and interior decoration industry
- 3 years of which as a Joinery and Fit Out Site Supervisor
- MUST have a valid KSA driver’s license
Job Types: Full-time, Permanent
Salary: ﷼4,000.00 - ﷼5,500.00 per month
Ability to commute/relocate:
Riyadh: Reliably commute or planning to relocate before starting work (Required)
License/Certification:
KSA Driving License (Required)
Application Deadline: 18/02/2023",$٤٬٠٠٠ - $٥٬٥٠٠ لكل شهر
Interior Project Manager (With Fit-Out Background),"Must have Minimum 10 years experience as Project Manager in GCC.
Preferred applicants having experience in Interior Fit-out Industry.
Must be willing to be relocated in KSA.
JOB DESCRIPTION
Managing projects within the established scope, schedule and budget while meeting or surpassing standards of quality.
Responsible for entire project management plan including scope, procurement, production, design, communication, cost time, risk, project human resources, close out etc.
Ensure health and safety measures are strictly followed at site.
Represent company in all project meetings. Verifying the technical aspect of quotes received from vendors.
Coordination between client, site, sub-contractors & suppliers. Negotiation of prices with subcontractors & suppliers and various project stakeholders.
Checking of invoices from sub-contractors based on the work done at site.
Plan and organize resources in advance for the assigned site by daily preparation of labor schedule.
Quality control of work done at site.
Enforce rules, regulations and procedures at site.
Contact the respective regulatory authorities to inspect and comment on the completed fit-out works for the issuance of occupancy certificate.
Observe the skills, attitude, attendance etc. of the workforce and rate them monthly to improve their performance at site.
Close out and hand over project.
Job Types: Full-time, Permanent
Salary: ﷼8,000.00 - ﷼12,000.00 per month
Ability to commute/relocate:
Riyadh: Reliably commute or planning to relocate before starting work (Required)
Application Deadline: 19/02/2023",$٨٬٠٠٠ - $١٢٬٠٠٠ لكل شهر
Sales Manager with exp in Freight Forwarding - Saudi Arabia,"Applicants must have minimum 3 – 5 years’ experience in Similar role from the /logistics Freight Forwarding industry (Air and Sea).
UAE driving license is a must for Business Development Applicants.
Should have good knowledge on Local market.
Should be able to manage a team of 4-5 Sales Executives under him.
Should have Dubai Driving License.
Good communication in English is mandatory.
Securing new clients for the company and managing/retaining existing clients to enhance sales/profitability for the company.
Maintaining relationships with existing clients/agents/partners/vendors/organizations and forging new relationships to enhance the business of the company.
Getting best rates for shipping lines/transporters/overseas agents
Job Type: Full-time
Salary: ﷼10,000.00 - ﷼15,000.00 per month
Application Question(s):
How many years of work experience do you have in a freight forwarding company?
Do you have your own database in Saudi Arabia?",$١٠٬٠٠٠ - $١٥٬٠٠٠ لكل شهر
Sales Representative,"Sales Representative (Outdoor) Saudi Job Description:
We are looking for a Outdoor Sales Representative for our Saudi office in Jeddah having proven experience in a similar role. As an Outside Sales Representative, you will be responsible for developing our sales strategies and managing sales proposals to our existing and potential customers.
Responsibilities:
· Presenting sales proposals to potential customers
· Evaluating customer needs
· Selling company products or services
· Educating customers on products and services
· Developing effective sales strategy
· Identifying opportunities to improve sales performance
· Monitoring competitor activities
· Maintaining good relationships with customers
· Conducting market and industry research
· Negotiating with existing and potential customers
· Maintaining records of sales leads
· Resolving customer complaints
· Collaborating with the marketing department
Required skills and qualifications
· Minimum of a Bachelor’s Degree in Marketing, Business or Communications
· Minimum of 3 years of experience in Outside Sales
· Well versed in English and Arabic
· Proficiency in MS Office
· Having a driving license
· Having Valid and Transferable Iqama
· Familiarity with different sales techniques
· Excellent interpersonal skills
· Excellent negotiation skills
· Excellent customer service skills
· Strong problem-solving skills
· Ability to work independently
Job Types: Full-time, Contract
Contract length: 24 months
Salary: ﷼2,000.00 - ﷼3,000.00 per month
Ability to commute/relocate:
Jeddah: Reliably commute or planning to relocate before starting work (Required)
Experience:
Customer service: 1 year (Preferred)
Language:
English And Arabic (Required)",$٢٬٠٠٠ - $٣٬٠٠٠ لكل شهر
